@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %06s "BTBTP1"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le     0.00051
@ CHARGE           %le     1.00000
@ ENERGY           %le     1.00000
@ PC               %le     1.00000
@ GAMMA            %le  1956.95134
@ KBUNCH           %le     1.00000
@ BCURRENT         %le     0.00000
@ SIGE             %le     0.00000
@ SIGT             %le     0.00000
@ NPART            %le     0.00000
@ EX               %le     1.00000
@ EY               %le     1.00000
@ ET               %le     1.00000
@ LENGTH           %le    69.59200
@ ALFA             %le     0.00000
@ ORBIT5           %le     0.00000
@ GAMMATR          %le     0.00000
@ Q1               %le     1.39913
@ Q2               %le     0.78550
@ DQ1              %le     0.00000
@ DQ2              %le     0.00000
@ DXMAX            %le     2.37909
@ DYMAX            %le     1.50653
@ XCOMAX           %le     0.00000
@ YCOMAX           %le     0.72000
@ BETXMAX          %le    69.39853
@ BETYMAX          %le    82.38922
@ XCORMS           %le     0.00000
@ YCORMS           %le     0.15903
@ DXRMS            %le     1.12034
@ DYRMS            %le     0.63876
@ DELTAP           %le     0.00000
@ SYNCH_1          %le     0.00000
@ SYNCH_2          %le     0.00000
@ SYNCH_3          %le     0.00000
@ SYNCH_4          %le     0.00000
@ SYNCH_5          %le     0.00000
@ TITLE            %45s "Transferline BT/BTP optics. Protons - 1.4 GeV"
@ ORIGIN           %19s "MAD-X 4.01.30 Linux"
@ DATE             %08s "28/01/11"
@ TIME             %08s "15.40.45"
* NAME                        S          Y         PY       BETX       ALFX       BETY       ALFY 
$ %s                        %le        %le        %le        %le        %le        %le        %le 
 "BT_UES30"            26.08338   -0.02125    0.00542    7.54811   -0.32513   10.24210    0.41595
 "DRIFT_26"            26.35488   -0.01977    0.00542    7.73545   -0.36490   10.02469    0.38485
 "BT_TRA30"            26.62438   -0.01831    0.00542    7.94277   -0.40438    9.82557    0.35399
 "DRIFT_27"            26.89488   -0.01685    0.00542    8.17226   -0.44400    9.64244    0.32301
 "BT_DVT50"            27.18938   -0.01525    0.00542    8.44648   -0.48714    9.46212    0.28928
 "DRIFT_28"            27.75388   -0.01219    0.00542    9.04315   -0.56984    9.17202    0.22463
 "BT_VPI20"            28.13738   -0.01010    0.00542    9.50176   -0.62602    9.01657    0.18071
 "DRIFT_29"            28.67869   -0.00717    0.00542   10.22242   -0.70531    8.85449    0.11871
 "BT_KFA20"            30.00000   -0.00212    0.00271   12.34204   -0.89887    8.74073   -0.03262
 "DRIFT_30"            30.99000    0.00000   -0.00000   14.26537   -1.04389    8.91756   -0.14600
 "BT_MTV40"            31.20000    0.00000   -0.00000   14.71026   -1.07465    8.98393   -0.17005
 "DRIFT_31"            31.28144    0.00000   -0.00000   14.88627   -1.08658    9.01239   -0.17938
 "BT_DVT60"            31.54388    0.00000   -0.00000   15.46669   -1.12503    9.11443   -0.20943
 "DRIFT_32"            31.76288    0.00000   -0.00000   15.96647   -1.15711    9.21165   -0.23452
 "BT_QNO40"            32.03388    0.00000    0.00000   15.78514    2.29965    9.82739   -2.36984
 "DRIFT_33"            32.35788    0.00000    0.00000   13.03522    5.11353   12.44063   -5.19473
 "BT_UES40"            32.54138    0.00000    0.00000   11.22868    4.73136   14.42284   -5.60751
 "DRIFT_34"            32.92188    0.00000    0.00000    7.92965    3.93890   19.01583   -6.46345
 "BT_QNO50"            33.40388    0.00000    0.00000    4.75587    2.26727   25.08999   -3.94356
 "DRIFT_35"            34.07629    0.00000   -0.00000    2.83111    1.08174   26.26830   -0.36442
 "BT_BHZ10"            35.32135    0.00000   -0.00000    1.31715    0.13677   27.26082   -0.43013
 "DRIFT_36"            36.29400    0.00000   -0.00000    1.78086   -0.63196   27.95677   -0.03011
 "BT$END"              36.50000    0.00000   -0.00000    2.07457   -0.79383   27.97070   -0.03749
 "DRIFT_37"            37.00000    0.00000   -0.00000    3.06485   -1.18673   28.01714   -0.05539
 "BTP$START"           37.50000    0.00000   -0.00000    4.44803   -1.57962   28.08148   -0.07329
