* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "PR.C1046"               7.49818531  -0.00000000  -0.00000000   2.95648305   0.19644545   0.00693242  12.82927015   0.07377104   0.00000000   0.00000000   0.03749606  -0.00148677  -0.10815380  25.83455106   0.05916210
 "DRIFT_43"               7.50318531  -0.00000000  -0.00000000   2.95746527   0.19644545   0.00654267  12.82920277   0.07383306   0.00000000   0.00000000   0.03748863  -0.00148677  -0.10834960  25.83563358   0.05919291
 "PR.QND46"               7.50318531  -0.00000000  -0.00000000   2.95746527   0.19748479   0.00203410  12.82920277   0.07383306   0.00000000   0.00000000   0.03748863  -0.00149994  -0.09927018  25.83563358   0.05919291
 "PR.BHZ46"               7.50318531  -0.00000000  -0.00000000   2.95746527   0.19748479   0.00203410  12.82920277   0.07383306   0.00000000   0.00000000   0.03748863  -0.00149994  -0.09927018  25.83563358   0.05919291
 "PS46$END"               7.50318531  -0.00000000  -0.00000000   2.95746527   0.19748479   0.00203410  12.82920277   0.07383306   0.00000000   0.00000000   0.03748863  -0.00149994  -0.09927018  25.83563358   0.05919291
 "PR.BHR000046$START"     7.50318531  -0.00000000  -0.00000000   2.95746527   0.19748479   0.00203410  12.82920277   0.07383306   0.00000000   0.00000000   0.03748863  -0.00149994  -0.09927018  25.83563358   0.05919291
 "PR.BHR000046.C1"        7.80175796  -0.00000000  -0.00000000   3.01642883   0.19748479  -0.02123889  12.83493680   0.07753657   0.00000000   0.00000000   0.03704079  -0.00149994  -0.11094069  25.89839679   0.06103001
 "PR.BHR000046.CORR1"     7.80175796  -0.00000000  -0.00000000   3.01642883   0.19748479  -0.02123889  12.83493680   0.07753657   0.00000000   0.00000000   0.03704079  -0.00149994  -0.11094069  25.89839679   0.06103001
 "PR.BHR000046.MPDE1"     7.80175796  -0.00000000  -0.00000000   3.01642883   0.19007952   0.01027062  12.83493680   0.07753657   0.00000000   0.00000000   0.03704079  -0.00140901  -0.17452073  25.89839679   0.06103001
 "PR.BHR000046.DEXDD1"    8.90415796  -0.00000000  -0.00000000   3.34588956   0.41117400  -0.94608144  13.84279511   0.09087161   0.00000000   0.00000000   0.03419204  -0.00372848   1.40592030  24.50766013   0.06791383
 "PR.BHR000046.CORR2"     8.90415796  -0.00000000  -0.00000000   3.34588956   0.41117400  -0.94608144  13.84279511   0.09087161   0.00000000   0.00000000   0.03419204  -0.00372848   1.40592030  24.50766013   0.06791383
 "PR.BHR000046.MPDM"      8.90415796  -0.00000000  -0.00000000   3.34588956   0.41117400  -0.94608144  13.84279511   0.09087161   0.00000000   0.00000000   0.03419204  -0.00372848   1.40592030  24.50766013   0.06791383
 "PR.BHR000046.DEXDD2"   10.00655796  -0.00000000  -0.00000000   3.93376884   0.66168376  -2.17800512  17.20740318   0.10238502   0.00000000   0.00000000   0.02891766  -0.00578345   2.59448423  19.98962282   0.07575000
 "PR.BHR000046.MPDE2"    10.00655796  -0.00000000  -0.00000000   3.93376884   0.65202643  -2.13576129  17.20740318   0.10238502   0.00000000   0.00000000   0.02891766  -0.00571246   2.54541011  19.98962282   0.07575000
 "PR.BHR000046.J1"       10.00905796  -0.00000000  -0.00000000   3.93539891   0.65202643  -2.13656930  17.21808401   0.10240814   0.00000000   0.00000000   0.02890338  -0.00571246   2.54447474  19.97689811   0.07576991
 "PR.BHR000046.CORR3"    10.00905796  -0.00000000  -0.00000000   3.93539891   0.65202643  -2.13656930  17.21808401   0.10240814   0.00000000   0.00000000   0.02890338  -0.00571246   2.54447474  19.97689811   0.07576991
 "PR.BHR000046.J2"       10.01155796  -0.00000000  -0.00000000   3.93702898   0.65202643  -2.13737730  17.22876887   0.10243124   0.00000000   0.00000000   0.02888909  -0.00571246   2.54353936  19.96417807   0.07578983
 "PR.BHR000046.MPFE1"    10.01155796  -0.00000000  -0.00000000   3.93702898   0.66181078  -2.18019441  17.22876887   0.10243124   0.00000000   0.00000000   0.02888909  -0.00578426   2.59315453  19.96417807   0.07578983
 "PR.BHR000046.FEXFF1"   11.10967796  -0.00000000  -0.00000000   4.52549067   0.40359738  -1.16441648  20.99109198   0.11151793   0.00000000   0.00000000   0.02349095  -0.00410530   1.17490996  15.92136992   0.08571525
 "PR.BHR000046.CORR4"    11.10967796  -0.00000000  -0.00000000   4.52549067   0.40359738  -1.16441648  20.99109198   0.11151793   0.00000000   0.00000000   0.02349095  -0.00410530   1.17490996  15.92136992   0.08571525
 "PR.BHR000046.MPFM"     11.10967796  -0.00000000  -0.00000000   4.52549067   0.40359738  -1.16441648  20.99109198   0.11151793   0.00000000   0.00000000   0.02349095  -0.00410530   1.17490996  15.92136992   0.08571525
 "PR.BHR000046.FEXFF2"   12.20779796  -0.00000000  -0.00000000   4.81296537   0.11687471   0.17455910  22.10457376   0.11953913   0.00000000   0.00000000   0.01976609  -0.00271876   0.09738551  14.55630663   0.09734189
 "PR.BHR000046.CORR5"    12.20779796  -0.00000000  -0.00000000   4.81296537   0.11687471   0.17455910  22.10457376   0.11953913   0.00000000   0.00000000   0.01976609  -0.00271876   0.09738551  14.55630663   0.09734189
 "PR.BHR000046.MPFE2"    12.20779796  -0.00000000  -0.00000000   4.81296537   0.12883594   0.11962460  22.10457376   0.11953913   0.00000000   0.00000000   0.01976609  -0.00276788   0.13356098  14.55630663   0.09734189
 "PR.BHR000046.C2"       12.50637061  -0.00000000  -0.00000000   4.85143225   0.12883594   0.10592403  22.03723111   0.12169223   0.00000000   0.00000000   0.01893968  -0.00276788   0.11268352  14.48278476   0.10061491
 "PR.BHR000046$END"      12.50637061  -0.00000000  -0.00000000   4.85143225   0.12883594   0.10592403  22.03723111   0.12169223   0.00000000   0.00000000   0.01893968  -0.00276788   0.11268352  14.48278476   0.10061491
 "PS47$START"            12.50637061  -0.00000000  -0.00000000   4.85143225   0.12883594   0.10592403  22.03723111   0.12169223   0.00000000   0.00000000   0.01893968  -0.00276788   0.11268352  14.48278476   0.10061491
 "PR.VPI47"              12.50637061  -0.00000000  -0.00000000   4.85143225   0.12883594   0.10592403  22.03723111   0.12169223   0.00000000   0.00000000   0.01893968  -0.00276788   0.11268352  14.48278476   0.10061491
 "PR.UHV47"              12.50637061  -0.00000000  -0.00000000   4.85143225   0.12883594   0.10592403  22.03723111   0.12169223   0.00000000   0.00000000   0.01893968  -0.00276788   0.11268352  14.48278476   0.10061491
