* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "PR.BHZ46"               7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
 "PS46$END"               7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
 "PR.BHR000046$START"     7.50318531  -0.00000000  -0.00000000   3.02535515   0.20021074  -0.02155058  13.80340181   0.07101219   0.00000000   0.00000000   0.03659312  -0.00149812  -0.12509462  24.98211594   0.06022290
 "PR.BHR000046.C1"        7.80175796  -0.00000000  -0.00000000   3.08513261   0.20021074  -0.04319099  13.82273188   0.07445263   0.00000000   0.00000000   0.03614582  -0.00149812  -0.13723310  25.06043982   0.06212210
 "PR.BHR000046.CORR1"     7.80175796  -0.00000000  -0.00000000   3.08513261   0.20021074  -0.04319099  13.82273188   0.07445263   0.00000000   0.00000000   0.03614582  -0.00149812  -0.13723310  25.06043982   0.06212210
 "PR.BHR000046.MPDE1"     7.80175796  -0.00000000  -0.00000000   3.08513261   0.19263680  -0.00925647  13.82273188   0.07445263   0.00000000   0.00000000   0.03614582  -0.00140938  -0.19875597  25.06043982   0.06212210
 "PR.BHR000046.DEXDD1"    8.90415796  -0.00000000  -0.00000000   3.41990354   0.41830765  -1.02880549  14.94071359   0.08681920   0.00000000   0.00000000   0.03332842  -0.00367159   1.33158377  23.78102965   0.06922631
 "PR.BHR000046.CORR2"     8.90415796  -0.00000000  -0.00000000   3.41990354   0.41830765  -1.02880549  14.94071359   0.08681920   0.00000000   0.00000000   0.03332842  -0.00367159   1.33158377  23.78102965   0.06922631
 "PR.BHR000046.MPDM"      8.90415796  -0.00000000  -0.00000000   3.41990354   0.41830765  -1.02880549  14.94071359   0.08681920   0.00000000   0.00000000   0.03332842  -0.00367159   1.33158377  23.78102965   0.06922631
 "PR.BHR000046.DEXDD2"   10.00655796  -0.00000000  -0.00000000   4.01838797   0.67390411  -2.34802174  18.57752067   0.09748370   0.00000000   0.00000000   0.02814664  -0.00567333   2.49076649  19.46408596   0.07728817
 "PR.BHR000046.MPDE2"    10.00655796  -0.00000000  -0.00000000   4.01838797   0.66403904  -2.30241430  18.57752067   0.09748370   0.00000000   0.00000000   0.02814664  -0.00560423   2.44298255  19.46408596   0.07728817
 "PR.BHR000046.J1"       10.00905796  -0.00000000  -0.00000000   4.02004807   0.66403904  -2.30326225  18.58903487   0.09750511   0.00000000   0.00000000   0.02813263  -0.00560423   2.44208755  19.45187328   0.07730861
 "PR.BHR000046.CORR3"    10.00905796  -0.00000000  -0.00000000   4.02004807   0.66403904  -2.30326225  18.58903487   0.09750511   0.00000000   0.00000000   0.02813263  -0.00560423   2.44208755  19.45187328   0.07730861
 "PR.BHR000046.J2"       10.01155796  -0.00000000  -0.00000000   4.02170816   0.66403904  -2.30411020  18.60055330   0.09752651   0.00000000   0.00000000   0.02811862  -0.00560423   2.44119255  19.43966508   0.07732908
 "PR.BHR000046.MPFE1"    10.01155796  -0.00000000  -0.00000000   4.02170816   0.67403383  -2.35033647  18.60055330   0.09752651   0.00000000   0.00000000   0.02811862  -0.00567411   2.48950419  19.43966508   0.07732908
 "PR.BHR000046.FEXFF1"   11.10967796  -0.00000000  -0.00000000   4.62044307   0.40997393  -1.24392714  22.64370855   0.10594589   0.00000000   0.00000000   0.02281542  -0.00404150   1.11084439  15.57680164   0.08749848
 "PR.BHR000046.CORR4"    11.10967796  -0.00000000  -0.00000000   4.62044307   0.40997393  -1.24392714  22.64370855   0.10594589   0.00000000   0.00000000   0.02281542  -0.00404150   1.11084439  15.57680164   0.08749848
 "PR.BHR000046.MPFM"     11.10967796  -0.00000000  -0.00000000   4.62044307   0.40997393  -1.24392714  22.64370855   0.10594589   0.00000000   0.00000000   0.02281542  -0.00404150   1.11084439  15.57680164   0.08749848
 "PR.BHR000046.FEXFF2"   12.20779796  -0.00000000  -0.00000000   4.91148373   0.11695433   0.20774897  23.80929618   0.11338679   0.00000000   0.00000000   0.01913738  -0.00269677   0.05432588  14.32667445   0.09934724
 "PR.BHR000046.CORR5"    12.20779796  -0.00000000  -0.00000000   4.91148373   0.11695433   0.20774897  23.80929618   0.11338679   0.00000000   0.00000000   0.01913738  -0.00269677   0.05432588  14.32667445   0.09934724
 "PR.BHR000046.MPFE2"    12.20779796  -0.00000000  -0.00000000   4.91148373   0.12916040   0.14857788  23.80929618   0.11338679   0.00000000   0.00000000   0.01913738  -0.00274433   0.08993067  14.32667445   0.09934724
 "PR.BHR000046.C2"       12.50637061  -0.00000000  -0.00000000   4.95004749   0.12916040   0.13576088  23.72440040   0.11538624   0.00000000   0.00000000   0.01831800  -0.00274433   0.06892179  14.27924545   0.10266982
 "PR.BHR000046$END"      12.50637061  -0.00000000  -0.00000000   4.95004749   0.12916040   0.13576088  23.72440040   0.11538624   0.00000000   0.00000000   0.01831800  -0.00274433   0.06892179  14.27924545   0.10266982
 "PS47$START"            12.50637061  -0.00000000  -0.00000000   4.95004749   0.12916040   0.13576088  23.72440040   0.11538624   0.00000000   0.00000000   0.01831800  -0.00274433   0.06892179  14.27924545   0.10266982
 "PR.VPI47"              12.50637061  -0.00000000  -0.00000000   4.95004749   0.12916040   0.13576088  23.72440040   0.11538624   0.00000000   0.00000000   0.01831800  -0.00274433   0.06892179  14.27924545   0.10266982
 "PR.UHV47"              12.50637061  -0.00000000  -0.00000000   4.95004749   0.12916040   0.13576088  23.72440040   0.11538624   0.00000000   0.00000000   0.01831800  -0.00274433   0.06892179  14.27924545   0.10266982
 "PR.TDU47"              13.50637061  -0.00000000  -0.00000000   5.07920789   0.12916040   0.09283330  23.49580622   0.12212931   0.00000000   0.00000000   0.01557366  -0.00274433  -0.00144258  14.21176624   0.11385134
 "PR.QLSF47"             13.50637061  -0.00000000  -0.00000000   5.07920789   0.12916040   0.09283330  23.49580622   0.12212931   0.00000000   0.00000000   0.01557366  -0.00274433  -0.00144258  14.21176624   0.11385134
 "PR.BHZ47"              13.50637061  -0.00000000  -0.00000000   5.07920789   0.12916040   0.09283330  23.49580622   0.12212931   0.00000000   0.00000000   0.01557366  -0.00274433  -0.00144258  14.21176624   0.11385134
 "PS47$END"              13.50637061  -0.00000000  -0.00000000   5.07920789   0.12916040   0.09283330  23.49580622   0.12212931   0.00000000   0.00000000   0.01557366  -0.00274433  -0.00144258  14.21176624   0.11385134
 "PR.BHS000047$START"    13.50637061  -0.00000000  -0.00000000   5.07920789   0.12916040   0.09283330  23.49580622   0.12212931   0.00000000   0.00000000   0.01557366  -0.00274433  -0.00144258  14.21176624   0.11385134
