* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "DRIFT_21"              28.35339900   0.00000000   0.00000000  -0.18982768   0.04223824  -1.01725210   7.51094122   0.70092394   0.00000000   0.00000000   0.00613991   0.00292720  -2.81121952  24.70553939   0.14161777
 "BTP.MTV10"             28.62339900   0.00000000   0.00000000  -0.17842336   0.04223824  -1.09039826   8.08000682   0.70644112   0.00000000   0.00000000   0.00693025   0.00292720  -2.90851746  26.24986837   0.14330522
 "DRIFT_22"              28.67429900   0.00000000   0.00000000  -0.17627343   0.04223824  -1.10418766   8.19171124   0.70743687   0.00000000   0.00000000   0.00707925   0.00292720  -2.92685992  26.54688908   0.14361210
 "BTP.VVS20"             28.67429900   0.00000000   0.00000000  -0.17627343   0.04223824  -1.10418766   8.19171124   0.70743687   0.00000000   0.00000000   0.00707925   0.00292720  -2.92685992  26.54688908   0.14361210
 "DRIFT_23"              28.80039900   0.00000000   0.00000000  -0.17094719   0.04223824  -1.13834963   8.47449519   0.70984571   0.00000000   0.00000000   0.00744837   0.00292720  -2.97230166  27.29077335   0.14435773
 "BTP.DHZ40"             29.09239900   0.00000000   0.00000000  -0.15861362   0.04223824  -1.21745584   9.16239039   0.71512069   0.00000000   0.00000000   0.00830311   0.00292720  -3.07752757  29.05732349   0.14600807
 "DRIFT_24"              29.18739900   0.00000000   0.00000000  -0.15460099   0.04223824  -1.24319245   9.39615198   0.71675026   0.00000000   0.00000000   0.00858119   0.00292720  -3.11176203  29.64530600   0.14652323
 "BTP.DVT50"             29.47939900   0.00000000   0.00000000  -0.14226742   0.04223824  -1.32229867  10.14527538   0.72151085   0.00000000   0.00000000   0.00943593   0.00292720  -3.21698794  31.49330099   0.14804421
 "DRIFT_25"              29.52440000   0.00000000   0.00000000  -0.14036666   0.04223824  -1.33448997  10.26483353   0.72221268   0.00000000   0.00000000   0.00956766   0.00292720  -3.23320462  31.78356610   0.14827058
 "STRAY1"                29.52440000   0.00000000   0.00000000  -0.14036666   0.04223786  -1.33450671  10.26483353   0.72221268   0.00000000   0.00000000   0.00956766   0.00292718  -3.23315276  31.78356610   0.14827058
 "DRIFT_26"              29.54540000   0.00000000   0.00000000  -0.13947967   0.04223786  -1.34019595  10.32100229   0.72253740   0.00000000   0.00000000   0.00962913   0.00292718  -3.24072016  31.91951743   0.14837552
 "STRAY2"                29.54540000   0.00000000   0.00000000  -0.13947967   0.04223742  -1.34022023  10.32100229   0.72253740   0.00000000   0.00000000   0.00962913   0.00292716  -3.24064508  31.91951743   0.14837552
 "DRIFT_26"              29.56640000   0.00000000   0.00000000  -0.13859268   0.04223742  -1.34590960  10.37741101   0.72286035   0.00000000   0.00000000   0.00969060   0.00292716  -3.24821216  32.05578344   0.14848000
 "STRAY3"                29.56640000   0.00000000   0.00000000  -0.13859268   0.04223693  -1.34594302  10.37741101   0.72286035   0.00000000   0.00000000   0.00969060   0.00292713  -3.24810892  32.05578344   0.14848000
 "DRIFT_26"              29.58740000   0.00000000   0.00000000  -0.13770570   0.04223693  -1.35163257  10.43406010   0.72318154   0.00000000   0.00000000   0.00975207   0.00292713  -3.25567556  32.19236291   0.14858405
 "STRAY4"                29.58740000   0.00000000   0.00000000  -0.13770570   0.04223638  -1.35167687  10.43406010   0.72318154   0.00000000   0.00000000   0.00975207   0.00292709  -3.25553888  32.19236291   0.14858405
