* NAME                             S            X           PX        DISP1        DISP2       ALFA11       BETA11          MU1            Y           PY        DISP3        DISP4       ALFA22       BETA22          MU2 
$ %s                             %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le 
 "DRIFT_59"               5.30318531  -0.00000000   0.00000000   0.48038641   0.06403532  -0.16056729  22.64215505   0.05262564   0.00000000   0.00000000   0.03343450   0.00152415  -0.09695711  10.22525495   0.06541850
 "PI.BSM43"               5.50318531  -0.00000000   0.00000000   0.49319348   0.06403532  -0.16962811  22.70819413   0.05402944   0.00000000   0.00000000   0.03373933   0.00152415  -0.11670040  10.26798646   0.06852519
 "DRIFT_58"               6.00318531  -0.00000000   0.00000000   0.52521114   0.06403532  -0.19228014  22.88914825   0.05752019   0.00000000   0.00000000   0.03450140   0.00152415  -0.16605861  10.40936596   0.07622544
 "PR.QLSF43"              6.00318531  -0.00000000   0.00000000   0.52521114   0.06403532  -0.19228014  22.88914825   0.05752019   0.00000000   0.00000000   0.03450140   0.00152415  -0.16605861  10.40936596   0.07622544
 "PR.BHZ43"               6.00318531  -0.00000000   0.00000000   0.52521114   0.06403532  -0.19228014  22.88914825   0.05752019   0.00000000   0.00000000   0.03450140   0.00152415  -0.16605861  10.40936596   0.07622544
 "PS43$END"               6.00318531  -0.00000000   0.00000000   0.52521114   0.06403532  -0.19228014  22.88914825   0.05752019   0.00000000   0.00000000   0.03450140   0.00152415  -0.16605861  10.40936596   0.07622544
 "PR.BHT000043$START"     6.00318531  -0.00000000   0.00000000   0.52521114   0.06403532  -0.19228014  22.88914825   0.05752019   0.00000000   0.00000000   0.03450140   0.00152415  -0.16605861  10.40936596   0.07622544
 "PR.BHT000043.C1"        6.30175796  -0.00000000   0.00000000   0.54433034   0.06403532  -0.20580670  23.00800610   0.05959094   0.00000000   0.00000000   0.03495647   0.00152415  -0.19553264  10.51732722   0.08076762
 "PR.BHT000043.CORR1"     6.30175796  -0.00000000   0.00000000   0.54433034   0.06403532  -0.20580670  23.00800610   0.05959094   0.00000000   0.00000000   0.03495647   0.00152415  -0.19553264  10.51732722   0.08076762
 "PR.BHT000043.MPFI1"     6.30175796  -0.00000000   0.00000000   0.54433034   0.06538810  -0.26298642  23.00800610   0.05959094   0.00000000   0.00000000   0.03495647   0.00143727  -0.16939488  10.51732722   0.08076762
 "PR.BHT000043.FINFF1"    7.39987796  -0.00000000   0.00000000   0.60540388   0.04518536   1.14414652  22.01679692   0.06726749   0.00000000   0.00000000   0.03779845   0.00376931  -1.01718566  11.79042578   0.09667466
 "PR.BHT000043.CORR2"     7.39987796  -0.00000000   0.00000000   0.60540388   0.04518536   1.14414652  22.01679692   0.06726749   0.00000000   0.00000000   0.03779845   0.00376931  -1.01718566  11.79042578   0.09667466
 "PR.BHT000043.MPFM"      7.39987796  -0.00000000   0.00000000   0.60540388   0.04518536   1.14414652  22.01679692   0.06726749   0.00000000   0.00000000   0.03779845   0.00376931  -1.01718566  11.79042578   0.09667466
 "PR.BHT000043.FINFF2"    8.49799796  -0.00000000   0.00000000   0.64239713   0.02179082   2.23370796  18.21707839   0.07589550   0.00000000   0.00000000   0.04333284   0.00636985  -2.15995701  15.19922579   0.10990003
 "PR.BHT000043.MPFI2"     8.49799796  -0.00000000   0.00000000   0.64239713   0.02338731   2.18843471  18.21707839   0.07589550   0.00000000   0.00000000   0.04333284   0.00626216  -2.12218375  15.19922579   0.10990003
 "PR.BHT000043.J1"        8.50049796  -0.00000000   0.00000000   0.64245560   0.02338731   2.18764022  18.20613820   0.07591735   0.00000000   0.00000000   0.04334849   0.00626216  -2.12308900  15.20983897   0.10992620
 "PR.BHT000043.CORR3"     8.50049796  -0.00000000   0.00000000   0.64245560   0.02338731   2.18764022  18.20613820   0.07591735   0.00000000   0.00000000   0.04334849   0.00626216  -2.12308900  15.20983897   0.10992620
 "PR.BHT000043.J2"        8.50299796  -0.00000000   0.00000000   0.64251407   0.02338731   2.18684574  18.19520199   0.07593921   0.00000000   0.00000000   0.04336415   0.00626216  -2.12399425  15.22045668   0.10995235
 "PR.BHT000043.MPDI1"     8.50299796  -0.00000000   0.00000000   0.64251407   0.02180995   2.23151460  18.19520199   0.07593921   0.00000000   0.00000000   0.04336415   0.00636862  -2.16136017  15.22045668   0.10995235
 "PR.BHT000043.DINDD1"    9.60539796  -0.00000000   0.00000000   0.69935326   0.08191946   0.94654967  14.77246050   0.08677663   0.00000000   0.00000000   0.04876354   0.00336877  -1.31255243  19.14387658   0.12011595
 "PR.BHT000043.CORR4"     9.60539796  -0.00000000   0.00000000   0.69935326   0.08191946   0.94654967  14.77246050   0.08677663   0.00000000   0.00000000   0.04876354   0.00336877  -1.31255243  19.14387658   0.12011595
 "PR.BHT000043.MPDM"      9.60539796  -0.00000000   0.00000000   0.69935326   0.08191946   0.94654967  14.77246050   0.08677663   0.00000000   0.00000000   0.04876354   0.00336877  -1.31255243  19.14387658   0.12011595
 "PR.BHT000043.DINDD2"   10.70779796  -0.00000000   0.00000000   0.82527853   0.14788946  -0.06270724  13.82057158   0.09921454   0.00000000   0.00000000   0.05070357   0.00012993  -0.09789235  20.73682601   0.12882182
 "PR.BHT000043.CORR5"    10.70779796  -0.00000000   0.00000000   0.82527853   0.14788946  -0.06270724  13.82057158   0.09921454   0.00000000   0.00000000   0.05070357   0.00012993  -0.09789235  20.73682601   0.12882182
 "PR.BHT000043.MPDI2"    10.70779796  -0.00000000   0.00000000   0.82527853   0.14586342  -0.02877802  13.82057158   0.09921454   0.00000000   0.00000000   0.05070357   0.00025441  -0.14880084  20.73682601   0.12882182
 "PR.BHT000043.C2"       11.00637061  -0.00000000   0.00000000   0.86882936   0.14586342  -0.05039941  13.84421180   0.10265017   0.00000000   0.00000000   0.05077953   0.00025441  -0.16351782  20.83007582   0.13110831
 "PR.BHT000043$END"      11.00637061  -0.00000000   0.00000000   0.86882936   0.14586342  -0.05039941  13.84421180   0.10265017   0.00000000   0.00000000   0.05077953   0.00025441  -0.16351782  20.83007582   0.13110831
 "PS44$START"            11.00637061  -0.00000000   0.00000000   0.86882936   0.14586342  -0.05039941  13.84421180   0.10265017   0.00000000   0.00000000   0.05077953   0.00025441  -0.16351782  20.83007582   0.13110831
 "PR.VPI44"              11.00637061  -0.00000000   0.00000000   0.86882936   0.14586342  -0.05039941  13.84421180   0.10265017   0.00000000   0.00000000   0.05077953   0.00025441  -0.16351782  20.83007582   0.13110831
 "DRIFT_58"              11.50637061  -0.00000000   0.00000000   0.94176107   0.14586342  -0.08660732  13.91271516   0.10838531   0.00000000   0.00000000   0.05090673   0.00025441  -0.18816339  21.00591643   0.13491296
 "PR.BCT44"              11.50637061  -0.00000000   0.00000000   0.94176107   0.14586342  -0.08660732  13.91271516   0.10838531   0.00000000   0.00000000   0.05090673   0.00025441  -0.18816339  21.00591643   0.13491296
 "DRIFT_36"              11.60637061  -0.00000000   0.00000000   0.95634741   0.14586342  -0.09384890  13.93076078   0.10952854   0.00000000   0.00000000   0.05093217   0.00025441  -0.19309250  21.04404202   0.13566994
 "PI.BSM44"              11.80637061  -0.00000000   0.00000000   0.98552009   0.14586342  -0.10833207  13.97119698   0.11181025   0.00000000   0.00000000   0.05098305   0.00025441  -0.20295073  21.12325066   0.13717972
 "DRIFT_37"              12.00637061  -0.00000000   0.00000000   1.01469278   0.14586342  -0.12281524  14.01742644   0.11408489   0.00000000   0.00000000   0.05103394   0.00025441  -0.21280896  21.20640260   0.13868370
 "PR.QNSD44"             12.00637061  -0.00000000   0.00000000   1.01469278   0.14586342  -0.12281524  14.01742644   0.11408489   0.00000000   0.00000000   0.05103394   0.00025441  -0.21280896  21.20640260   0.13868370
 "PR.DVT44"              12.00637061  -0.00000000   0.00000000   1.01469278   0.14586342  -0.12281524  14.01742644   0.11408489   0.00000000   0.00000000   0.05103394   0.00025441  -0.21280896  21.20640260   0.13868370
 "PR.BHZ44"              12.00637061  -0.00000000   0.00000000   1.01469278   0.14586342  -0.12281524  14.01742644   0.11408489   0.00000000   0.00000000   0.05103394   0.00025441  -0.21280896  21.20640260   0.13868370
 "PS44$END"              12.00637061  -0.00000000   0.00000000   1.01469278   0.14586342  -0.12281524  14.01742644   0.11408489   0.00000000   0.00000000   0.05103394   0.00025441  -0.21280896  21.20640260   0.13868370
 "PR.BHR000044$START"    12.00637061  -0.00000000   0.00000000   1.01469278   0.14586342  -0.12281524  14.01742644   0.11408489   0.00000000   0.00000000   0.05103394   0.00025441  -0.21280896  21.20640260   0.13868370
 "PR.BHR000044.C1"       12.30494327  -0.00000000   0.00000000   1.05824360   0.14586342  -0.14443662  14.09722054   0.11746556   0.00000000   0.00000000   0.05110989   0.00025441  -0.22752594  21.33787456   0.14091766
 "PR.BHR000044.CORR1"    12.30494327  -0.00000000   0.00000000   1.05824360   0.14586342  -0.14443662  14.09722054   0.11746556   0.00000000   0.00000000   0.05110989   0.00025441  -0.22752594  21.33787456   0.14091766
 "PR.BHR000044.MPDE1"    12.30494327  -0.00000000   0.00000000   1.05824360   0.14326545  -0.10982823  14.09722054   0.11746556   0.00000000   0.00000000   0.05110989   0.00037988  -0.27990999  21.33787456   0.14091766
 "PR.BHR000044.DEXDD1"   13.40734327  -0.00000000  -0.00000000   1.26543859   0.23485767  -1.16193747  15.46689870   0.12950040   0.00000000   0.00000000   0.04971080  -0.00290303   1.02254248  20.49914906   0.14921110
 "PR.BHR000044.CORR2"    13.40734327  -0.00000000  -0.00000000   1.26543859   0.23485767  -1.16193747  15.46689870   0.12950040   0.00000000   0.00000000   0.04971080  -0.00290303   1.02254248  20.49914906   0.14921110
 "PR.BHR000044.MPDM"     13.40734327  -0.00000000  -0.00000000   1.26543859   0.23485767  -1.16193747  15.46689870   0.12950040   0.00000000   0.00000000   0.04971080  -0.00290303   1.02254248  20.49914906   0.14921110
 "PR.BHR000044.DEXDD2"   14.50974327  -0.00000000  -0.00000000   1.58221724   0.34325154  -2.55249220  19.46730003   0.13973898   0.00000000   0.00000000   0.04478515  -0.00598000   2.03997811  17.04035328   0.15849264
 "PR.BHR000044.MPDE2"    14.50974327  -0.00000000  -0.00000000   1.58221724   0.33936723  -2.50470037  19.46730003   0.13973898   0.00000000   0.00000000   0.04478515  -0.00587005   1.99814438  17.04035328   0.15849264
 "PR.BHR000044.J1"       14.51224327  -0.00000000  -0.00000000   1.58306566   0.33936723  -2.50563444  19.47982587   0.13975942   0.00000000   0.00000000   0.04477047  -0.00587005   1.99741192  17.03036439   0.15851600
 "PR.BHR000044.CORR3"    14.51224327  -0.00000000  -0.00000000   1.58306566   0.33936723  -2.50563444  19.47982587   0.13975942   0.00000000   0.00000000   0.04477047  -0.00587005   1.99741192  17.03036439   0.15851600
 "PR.BHR000044.J2"       14.51474327  -0.00000000  -0.00000000   1.58391408   0.33936723  -2.50656851  19.49235637   0.13977984   0.00000000   0.00000000   0.04475580  -0.00587005   1.99667945  17.02037916   0.15853937
