@ NAME             %09s "PTC_TWISS"
 "BI.DVT10"            89.27204   -0.00267    0.00000
 "DRIFT_75"            89.75904   -0.00292    0.00000
 "BI.BPM00"            89.75904   -0.00292    0.00000
 "DRIFT_76"            90.66104   -0.00339    0.00000
 "BI.BTV10"            90.66104   -0.00339    0.00000
 "DRIFT_77"            91.23704   -0.00369    0.00000
 "BI.STPFA10"          91.23704   -0.00369    0.00000
 "DRIFT_78"            94.46304   -0.00537    0.00000
 "BI.STPSW10"          94.46304   -0.00537    0.00000
 "DRIFT_79"            95.21204   -0.00576    0.00000
 "BI.BPM10"            95.21204   -0.00576    0.00000
 "DRIFT_80"            95.69204   -0.00601    0.00000
 "BI.DHZ20"            95.69204   -0.00601    0.00000
 "BI.DVT20"            95.69204   -0.00601    0.00000
 "DRIFT_81"            96.10104   -0.00623    0.00000
 "BI.QNO10"            96.56304   -0.00573    0.00000
 "DRIFT_82"            97.10104   -0.00430    0.00000
 "BI.QNO20"            97.56304   -0.00363    0.00000
 "DRIFT_83"           104.41364   -0.00138    0.00000
 "BI.BPM20"           104.41364   -0.00138    0.00000
 "DRIFT_84"           104.86324   -0.00124    0.00000
 "BI.BCT10"           104.86324   -0.00124    0.00000
 "DRIFT_85"           105.24244   -0.00111    0.00000
 "BI.VVS10"           105.24244   -0.00111    0.00000
 "DRIFT_86"           105.32654   -0.00108    0.00000
 "BI.DVT30"           105.62154   -0.00099   -0.00000
 "DRIFT_87"           105.86504   -0.00091   -0.00000
 "BI.BTV20"           105.86504   -0.00091   -0.00000
 "DRIFT_88"           106.45174   -0.00072   -0.00000
 "BI.QNO30"           106.91374   -0.00062   -0.00000
 "DRIFT_89"           107.29405   -0.00058   -0.00000
 "BI.BPM30"           107.29405   -0.00058   -0.00000
 "DRIFT_90"           107.70120   -0.00053   -0.00000
 "BI.QNO40"           108.16320   -0.00043    0.00000
 "DRIFT_91"           108.42405   -0.00035    0.00000
 "BI.DIS0"            108.82405   -0.00021    0.00000
 "DRIFT_92"           108.83405   -0.00021    0.00000
 "BI4.DIS1"           109.23405   -0.00008    0.00000
 "DRIFT_92"           109.24405   -0.00008    0.00000
 "BI4.DIS2"           109.64405    0.00006    0.00000
 "DRIFT_92"           109.65405    0.00006    0.00000
 "BI4.DIS3"           110.05405    0.00019    0.00000
 "DRIFT_93"           110.06405    0.00019    0.00000
 "BI4.DIS4"           110.46405    0.00033    0.00000
 "DRIFT_94"           110.64705    0.00039    0.00000
 "BI4.DVT40"          110.97405    0.00049    0.00000
 "DRIFT_95"           112.67556    0.00105    0.00000
 "BI.VPI12"           112.67556    0.00105    0.00000
 "DRIFT_96"           116.89359    0.00244    0.00000
 "BI.BTV30"           116.89359    0.00244    0.00000
 "DRIFT_97"           118.57631    0.00299    0.00000
 "BI.SMVHDP"          118.57631    0.00299    0.00000
 "DRIFT_98"           118.80210    0.00307    0.00000
 "BI4.SMV10"          119.76510    0.00338    0.00000
 "DRIFT_99"           121.34224    0.00390    0.00000
 "BI4.BVT10"          122.06279    0.00410    0.00000
 "DRIFT_100"          122.37060    0.00417    0.00000
 "BI4.QNO50"          122.83660    0.00374    0.00000
 "DRIFT_101"          123.12060    0.00317    0.00000
 "BI4.QNO60"          123.58660    0.00265    0.00000
 "DRIFT_102"          123.91160    0.00258    0.00000
 "BI4.DHZ50"          123.91160    0.00258    0.00000
 "BI4.DVT50"          123.91160    0.00258    0.00000
 "DRIFT_103"          124.47860    0.00244    0.00000
 "BI4.BPM40"          124.47860    0.00244    0.00000
 "DRIFT_104"          125.66060    0.00216    0.00000
 "BI4.BTV40"          125.66060    0.00216    0.00000
 "DRIFT_105"          126.20710    0.00203    0.00000
 "BI4.VPI14"          126.20710    0.00203    0.00000
 "DRIFT_106"          126.60560    0.00193    0.00000
 "BI4.BCT20"          126.60560    0.00193    0.00000
 "DRIFT_107"          127.05160    0.00183    0.00000
 "BI4.BPM50"          127.05160    0.00183    0.00000
 "DRIFT_108"          127.57360    0.00170    0.00000
 "BI4.VVS20"          127.57360    0.00170    0.00000
 "DRIFT_109"          129.97360    0.00113    0.00000
 "BI4.DHZ70"          129.97360    0.00113    0.00000
 "BI4.DVT70"          129.97360    0.00113    0.00000
 "DRIFT_110"          131.23080    0.00083    0.00000
 "BI4.INJPT"          131.23080    0.00083    0.00000
 "BI4$END"            131.23080    0.00083    0.00000
 "DRIFT_111"          131.26445    0.00082    0.00000
 "LTLTBBI$END"        131.26445    0.00082    0.00000
